Id,Text,Score
49,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",1
50,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",1
51,the last time i walked by it looked pretty empty. hmmm.,1
52,This place has got to be the best japanese restaurant in the new york area.,5
53,I had a great experience.,5
54,Food is great.,5
55,Service is top notch.,5
56,I have been going back again and again.,5
57,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",5
58,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",5
59,The sushi seemed pretty fresh and was adequately proportioned.,5
60,The rice to fish ration was also good--they didn't try to overpack the rice.,5
61,We took advanatage of the half price sushi deal on saturday so it was well worth it.,5
62,I went to this restaurant with a woman that I met recently.,1
63,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,1
64,Surprisingly nothing could be further from the truth.,5
65,"In the evening, this place attracted a well dressed, with it, NY crowd.",5
66,The food was well prepared and the service impecable.,5
67,I'm going back.,5
68,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",1
69,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,5
70,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1
71,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,5
72,I will be going back and heartily recommend it!,5
73,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",1
74,"It is terrific, as is the value.",5
75,"$6 and there is much tasty food, all of it fresh and continually refilled.",5
76,"I am not a vegetarian but, almost all the dishes were great.",5
77,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",1
78,Go hungry and enjoy.,5
79,"The food here is rather good, but only if you like to wait for it.",5
80,"The food here is rather good, but only if you like to wait for it.",1
81,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",5
82,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",1
83,"The service varys from day to day- sometimes they're very nice, and sometimes not.",1
84,"The kitchen however, is almost always slow.",1
85,"Also, specify if you like your food spicy- its rather bland if you don't.",1
86,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",5
87,Just went here for my girlfriends 23rd bday.,1
88,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,5
89,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,5
90,The lava cake dessert was incredible and I recommend it.,5
91,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",5
92,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",5
93,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",5
94,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",1
95,"However, go for the ambience, and consider the food just a companion for a trip across the world!",5
96,"However, go for the ambience, and consider the food just a companion for a trip across the world!",1
97,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",1
98,IT WAS HORRIBLE.,1
99,The pizza was delivered cold and the cheese wasn't even fully melted!,1
100,It looked like shredded cheese partly done - still in strips.,1
101,I have eaten at many pizza places around NYC and this is hands down the worst.,1
102,This has got to be one of the most overrated restaurants in Brooklyn.,1
103,The pizza is overpriced and soggy.,1
104,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",5
105,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",1
106,"A big disappointment, all around.",1
107,I think I've had some the best meals of my life at minnow.,5
108,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",5
109,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,5
110,Worth the trip from Manhattan.,5
111,Was there Friday night.,1
112,Best Pastrami I ever had and great portion without being ridiculous.,5
113,And I've been to many NYC delis.,1
114,My wife had the fried shrimp which are huge and loved it.,5
115,Price no more than a Jersey deli but way better.,1
116,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",5
117,This place is the most Japanese it can ever get.,5
118,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",5
119,This place is worth an one-hour drive.,5
120,"I am so coming back here again, as much as I can.",5
121,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",5
122,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",5
123,Sit outside in the warm weather; inside for cozy winter.,1
124,Decent wine at reasonable prices.,1
125,Decent wine at reasonable prices.,5
126,Have been dozens of times and never failed to enjoy the experience.,5
127,"Our teenage kids love it, too.",5
128,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",5
129,This is by far my favorite place in the neighborhood.,5
130,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",5
131,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",1
132,I'm partial to the Gnocchi.,5
133,This place is incredibly tiny.,1
134,They refuse to seat parties of 3 or more on weekends.,1
135,The hostess is rude to the point of being offensive.,1
136,The food was bland oily.,1
137,I just don't understand all the hype...,1
138,We went to Ino for Valentines.,1
139,"We have been to this place many times, and always have great food, wine, and service.",5
140,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",5
141,As always we had a great glass of wine while we waited.,5
142,"When we sat, we got great and fast service.",5
143,The people that work there are always so friendly you forget you are in New York sometimes.,5
144,Make sure you try this place as often as you can.,5
145,This is a fun restaurant to go to.,5
146,The pizza is yummy and I like the atmoshpere.,5
147,But the pizza is way to expensive.,1
148,"A large is $20, and toppings are about $3 each.",1
149,I went there for lunch and it was not as good as I expected from the reviews I read.,1
150,Sauce was watery and the food didn't have much flavor.,1
151,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",1
152,I don't think I would go again.,1
153,This place is great.,5
154,I had a huge group for my birthday and we were well taken care of.,5
155,The waitress was very patient with us and the food is phenomenal!,5
156,"Service was prompt, friendly and great.",5
157,Slightly on the pricey side but worth it!,1
158,Slightly on the pricey side but worth it!,5
159,Great pizza and fantastic service.,5
160,"There was a small wait, but shorter than I expected.",5
161,Located at the end of a magnificent block.,5
162,Very cozy and warm inside.....,5
163,I will be back!,5
164,This is the best sushi in new york city - hands down.,5
165,The place is small and cramped but the food is fantastic.,1
166,The place is small and cramped but the food is fantastic.,5
167,Get the tuna of gari.,5
168,The one on the east side is much better than the one on the west side.,1
169,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",5
170,"With the great variety on the menu , I eat here often and never get bored .",5
171,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",1
172,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",5
173,It's all about the food !!,5
174,I went there with my friend last saturday.,1
175,first it took us a long time to find the place.,1
176,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",1
177,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",1
178,then we ordered a dinosaur rolls and white tuna sashimi.,1
179,"those rolls were big, but not good and sashimi wasn't fresh.",1
180,"those rolls were big, but not good and sashimi wasn't fresh.",1
181,"they were dry and disgusting, i didn't even finish my first piece.",1
182,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,5
183,"Try the crunchy tuna, it is to die for.",5
184,"Try everything for that matter, it is all good.",5
185,I have been going there since it opened and I can't get enough.,5
186,First went here to enjoy their garden terrace.,5
187,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",5
188,"The Steak Tartare is a great bet, they fix it for you at the table.",5
189,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",5
190,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",1
191,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",5
192,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",1
193,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",5
194,"Have recommended the place to friends, always gets good response.",5
195,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",5
196,Veal Parmigana - Better than Patsy's!,1
197,Much more reasonably priced too!,1
198,I take all my NYC guests to VT's.,5
199,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",5
200,I've been there three times and have always had wonderful experiences.,5
201,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,5
202,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,5
203,Even after they overcharged me the last time I was there.,1
204,Make sure you have the Spicy Scallop roll.. .,5
205,it's delicious!,5
206,"Moules were excellent, lobster ravioli was VERY salty!",5
207,"Moules were excellent, lobster ravioli was VERY salty!",1
208,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",1
209,"Told us to sit anywhere, and when we sat he said the table was reserved.",1
210,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,1
211,Tiny dessert was $8.00...just plain overpriced for what it is.,1
212,The drinks are always welll made and wine selection is fairly priced.,5
213,Try their chef's specials-- they are to die for.,5
214,"Service is not exactly five star, but thats not really a big deal.",1
215,Downstairs lounge is always a good attraction,5
216,"Raga's is a romantic, cozy restaurant.",5
217,The exotic food is beautifully presented and is a delight in delicious combinations.,5
218,It is also extremely well priced.,5
219,The staff is incredibly helpful and attentive.,5
220,The bar is very well stocked with interesting beers and well priced wines.,5
221,This is one of my favorite restaurants and it is not to be missed.,5
222,Your friends will thank you for introducing them to this gem!,5
223,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",1
224,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",1
225,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",1
226,Such a disappointment...,1
227,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",1
228,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",1
229,I had a grat time at Jekyll and Hyde!,5
230,I loved everythig about it-especially the shows and actors.,5
231,Our server was very helpful and friendly.,5
232,I am bringing my whole family back next time.,5
233,The food was good too.,5
234,The tuna and wasabe potatoes are excellent.,5
235,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,5
236,"Inside is a little cramped, but to be expected.",1
237,Service was prompt and courteous.,5
238,This was a repeat visit and we'll definitely be back again.,5
239,"Great service, great food.",5
240,Prices are in line.,1
241,"Compared to other shabu restaurants around town, this places wins hands-down.",1
242,But too far east!,1
243,I live a block away and go to Patsy's frequently.,1
244,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",5
245,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",1
246,"Also, because it is so thin, it gets cold very quickly and its not that filling.",1
247,So eat fast and order a lot.,1
248,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,1
249,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,5
250,By far the best salad I have had in a fast food restaurant.,5
251,fine dining restaurant quality.,5
252,Over 100 different choices to create your own.,5
253,A must try!,5
254,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",5
255,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",5
256,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",5
257,"With so many poor experiences to be had in the theater district, is truly an excellent find!",5
258,We will return many times for this oasis in mid-town.,5
259,I grew up on these bagels.,1
260,The staff is no nonsense.,5
261,The food options rule.,5
262,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,5
263,Worth visiting the 1st Ave spot because it is the original store.,5
264,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A.,1
265,"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1
266,I asked the chef what he recommends and he asked me if I like Uni. (,1
267,"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.)",1
268,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",5
269,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",1
270,The sake menu should not be overlooked!,5
271,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",5
272,Try the lobster teriyaki and the rose special roll.,5
273,We visited Orsay during NY Restaurant Week and tried their $35 menu.,1
274,"Service was very good - prompt, attentive and non-intrusive.",5
275,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",5
276,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",1
277,Wine list selection is good and wine-by-the-glass was generously filled to the top.,5
278,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,5
279,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,1
280,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",5
281,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",1
282,"Seating is always prompt, though the restaurant does fill up in the evening.",5
283,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",5
284,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",1
285,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1
286,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",5
287,I have NEVER been disappointed in the Red Eye.,5
288,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",5
289,I've never ordered anything else from their menu...there's no need to.,1
290,It's simply the best meal in NYC.,5
291,You cannot go wrong at the Red Eye Grill.,5
292,"If we were to move from the upper east side, we would genuinely miss this restaurant.",5
293,We've lived in the area for more than 8 years.,1
294,The restaurant is cute but not upscale.,1
295,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,5
296,I would highly recommend it.,5
297,It's one of our favorite places to eat in NY.,5
298,We had a great time at the Jekyll and hyde Pub last night.,5
299,We were walking around the village and went into this place just for some drinks.,1
300,After really enjoying ourselves at the bar we sat down at a table and had dinner.,5
301,The server was really cool and served us our food and drinks with a smile.,5
302,The place's decor and hidden bathrooms made for a good laugh.,5
303,I highly recommend visiting this restaurant and having dinner and drinks!,5
304,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",5
305,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",5
306,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",5
307,The entertainment was great they have shows that go on through out the dinner.,5
308,"Please take my advice, go and try this place.",5
309,Its located in greenewich village.,1
310,You will not be disapointed at all.,5
311,Our first time in New York and we had to try a New York Bagel.,1
312,We were not dissappointed in the least bit by this little gem.,5
313,The bagel was huge.,5
314,They were served warm and had a soft fluffy interior.,5
315,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,1
316,I loved it and would HIGHLY RECOMMEND.,5
317,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,5
318,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",1
319,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,5
320,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",5
321,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",5
322,All the staff is absolutely professional!!,5
323,I sometimes see the waiters don't have enough knowledge of their dishes.,1
324,But they do.,1
325,"(that is A MUST, but not every restaurant can do...)",5
326,"If you want to dine with large party, I recommend to make reservation BASEMENT.",1
327,"There's nice and quiet, small but enough for 6 (or more).",5
328,This restaurant was way overhyped.,1
329,My chow fun and chow see was really bland and oily.,1
330,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,1
331,The scallion pancakes and fried dumplings were nothing out of the ordinary.,1
332,The service was the only thing good about this restaurant.,5
333,The service was the only thing good about this restaurant.,1
334,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",1
335,I definitely wouldn't go back.,1
336,There are many Thai places in the city but so far Toons is #1.,1
337,Their pad penang is delicious and everything else is fantastic.,5
338,The price is reasonable although the service is poor.,5
339,The price is reasonable although the service is poor.,1
340,fresh restaurant was amazing........ food was delicious and of course fresh.,5
341,"great for a romantic evening, or a fun evening with friends...",5
342,I will be going back very soon.,5
343,keep up the good work.,5
344,Hats off to the chef.,5
345,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",1
346,He has visited Thailand and is quite expert on the cuisine.,1
347,It was wonderful.,5
348,"the salads are delicious, both refreshing and very spicy.",5
349,We had Pam's special fried fish and it was amazing.,5
350,too large for just two people but nothing was left.,1
351,too large for just two people but nothing was left.,5
352,Unbelievable.,1
353,Had a late night dinner on a Saturday night.,1
354,"Great vibe, lots of people.",5
355,"My husband and I both ordered the Steak, medium.",1
356,"My husbands was perfect, my was well done and dry.",5
357,"My husbands was perfect, my was well done and dry.",1
358,"I didn't complain, I liked the atmosphere so much.",5
359,Will give it another chance before I write it off.,1
360,Visited there while on vacation and reading the reviews.,1
361,On a hot day it was fabulous to stop in and enjoy lunch.,5
362,"Ambience is so cute and quaint, good for business although we were there on vacation.",5
363,Salads were fantastic.,5
364,Although we were looking for regular lettuce and some walnuts the salads we got were great.,5
365,Ingredients are organic which is a real plus for me.,5
366,We will be back.,5
367,"This is some really good, inexpensive sushi.",5
368,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",1
369,The spicy Tuna roll is huge and probably the best that I've had at this price range.,5
370,The Yellowtail was particularly good as well.,5
371,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",1
372,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",5
373,Big Wong gets big Ups for a fine establishment.,5
374,"They have it all -- great price, food, and service.",5
375,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,1
376,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,5
377,The food is prepared quickly and efficiently.,5
378,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",5
379,The takeout is great too since they give high quality tupperware as well.,5
380,This place is always very crowded and popular.,5
381,Went here on a friend's reccomendation.,1
382,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,5
383,We both opted for a pasta dish and they were served timely and fresh.,5
384,"We concluded with tiramisu chocolate cake, both were delicious.",5
385,We'd go back again,5
386,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,5
387,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",5
388,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,5
389,"Yes, the prices are high, but I felt it was worth it.",1
390,"Yes, the prices are high, but I felt it was worth it.",5
391,We all felt it was worth it.,5
392,sometimes i get good food and ok service.,5
393,sometimes i get good food and ok service.,1
394,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",1
395,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",5
396,it is not consistent.,1
397,really depends on your luck!,1
398,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,5
399,And where does Patis go wrong; no where.,5
400,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",5
401,And evaluated on those terms Pastis is simply wonderful.,5
402,Right off the L in Brooklyn this is a nice cozy place with good pizza.,5
403,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,1
404,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,5
405,My friend got the mushroom pizza which tasted better.,5
406,The sangria was pretty tasty and good on a hot muggy day.,5
407,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,1
408,Overall I would recommend it and go back again.,5
409,Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),1
410,I started out with a Bombay beer which was big enough for two.,5
411,For dinner I had the chicken tikka-masala and some garlic naan.,1
412,MMmmm... it was delicious.,5
413,"Service was slow, but the people were friendly.",1
414,"Service was slow, but the people were friendly.",5
415,It's a nice place to relax and have conversation.,5
416,I can't wait to go back.,5
417,We have lived in Chelsea for two years and have never noticed this restaurant.,1
418,The food is authentic Italian - delicious!,5
419,"Pizza is terrific, as is homemade pasta.",5
420,"Ambience is delightful, service impeccable.",5
421,I'm still mad that i had to pay for lousy food.,1
422,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,1
423,Service was also horrible and the ambience is not that great.,1
424,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,1
425,I go and eat out at many different restaurants and this is one place you have go and try.,5
426,This is my first time writing a review for a restaurant because the food and service was excellent.,5
427,The filet mignon dish was superb!,5
428,I would defiantly come back here again as one of my top choices.,5
429,It's a small cute restaurant.,5
430,I absolutely love this place!!!,5
431,"From the street it looks very hidden, and is actually an old warehouse.",1
432,"I like the ambience, it's very dark and original.",5
433,I came here for my friend's birthday and keep coming back ever since.,1
434,The sushi is amazing!!!,5
435,And amazingly cheap.,5
436,Big thumbs up!,5
437,Very affordable and excellent ambient!,5
438,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,1
439,We were very disappointed.,1
440,We won't go to this place again for a good meal.,1
441,"However, I think this place is a good hang out spot.",5
442,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",1
443,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,5
444,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,5
445,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,5
446,"They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.",5
447,Check this place out!,5
448,HIGHLY RECOMMENDED!!!!!,5
449,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",1
450,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",1
451,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",1
452,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",1
453,Slightly above average wines start at $70+ with only one selection listed at $30+.,1
454,Service is not what one would expect from a joint in this price category.,1
455,"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc....",1
456,Somehow working the italian charm with constant mille grazie does not constitute proper service.,1
457,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",5
458,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",1
459,"To celebrate a birthday, three of us went to Mare anticipating great food.",1
460,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,1
461,Fish was overdone.,1
462,"Cute place, nice wait staff but would never go there again.",5
463,"Cute place, nice wait staff but would never go there again.",1
464,Someone else recommended the dessert - we also left that.,1
465,One of us actually liked the expresso - that's it.,5
466,"Skip this restaurant, it's a big disappointment.",1
467,Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,5
468,I've never had bad service and the fish is fresh and delicious.,5
469,Their tuna tartar appetizer is to die for.,5
470,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",5
471,It is simply amazing.,5
472,The place is so cool and the service is prompt and curtious.,5
473,I highly recommend to anyone to give this place a try.,5
474,You will find yourself returning quite often.,5
475,P.S. Please don't tell anyone in my family i eat there.,1
476,LOL,1
477,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,5
478,No gimmicks here -- the food speaks for itself in its freshness and preparation.,5
479,The dining room is quietly elegant with no music to shout over -- how refreshing!,5
480,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",5
481,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",5
482,Beautiful experience.,5
483,The view is breathtaking the service is top notch... the ambiance is wonderfull.,5
484,The staff offers impeccable service.,5
485,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,5
